"Region","Species","Conservation.Unit","Current.Spawner.Abundance","Years","Years.of.Data","Percentile","SR","Probability.of.Red.Status","Probability.of.Amber.Status","Probability.of.Green.Status","WSP","WSP.Year","COSEWIC","COSEWIC.Year","Province","Province.Year","S25","S50","Sgen","Smsy"
"Central Coast","Lake sockeye","Kimsquit"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Kisameet"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Kitkiata"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Kitlope","14,780","2017-2021","65","poor","poor","7854.76%","2145.24%","0%"," "," "," "," "," "," ","16,000 (10,318 - 19,207)","24,800 (18,143 - 31,517)","16,319 (10,387 - 29,768)","32,847 (23,522 - 49,947)"
"Central Coast","Lake sockeye","Koeye","7,488","2017-2021","57","good","good","0%","0%","10000%"," "," "," "," "," "," ","2,000 (1,846 - 3,421)","4,000 (3,262 - 5,253)","735 (489 - 1,041)","3,089 (2,584 - 3,727)"
"Central Coast","Lake sockeye","Kooryet","617","2016-2020","46","poor","poor","9969.04%","28.58%","2.38%"," "," "," "," "," "," ","1,405 (1,140 - 2,622)","4,150 (2,708 - 5,578)","1,497 (709 - 3,017)","2,992 (1,851 - 5,114)"
"Central Coast","Lake sockeye","Kunsoot River"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Kwakwa Creek","1,130","2021-2021","51","poor"," "," "," "," "," "," "," "," "," "," ","1,500 (715 - 1,967)","2,400 (1,481 - 3,308)"," ",""
"Central Coast","Lake sockeye","Lewis Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Limestone Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Long","59,096","2010-2014","61","fair"," "," "," "," "," "," "," "," "," "," ","26,827 (17,793 - 61,183)","84,098 (43,507 - 109,758)"," ",""
"Central Coast","Lake sockeye","Lowe/Simpson/Weir","3,061","2017-2021","50","poor","poor","8295.24%","1578.57%","126.19%"," "," "," "," "," "," ","4,100 (3,056 - 6,617)","7,000 (6,073 - 10,812)","3,584 (2,348 - 5,109)","5,385 (3,422 - 7,894)"
"Central Coast","Lake sockeye","Mary Cove Creek","430","2015-2018","53","fair","poor","8602.38%","1397.62%","0%"," "," "," "," "," "," ","340 (200 - 795)","800 (526 - 1,743)","504 (330 - 814)","2,073 (1,462 - 2,608)"
"Central Coast","Lake sockeye","Mcdonald Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Mcloughlin"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Mikado","3,990","2015-2017","48","fair","good","0%","0%","10000%"," "," "," "," "," "," ","3,000 (2,025 - 3,626)","4,405 (3,898 - 5,851)","831 (532 - 1,364)","1,992 (1,707 - 2,428)"
"Central Coast","Lake sockeye","Monckton Inlet Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Namu","3,623","2017-2021","52","good","good","138.1%","611.9%","9250%"," "," "," "," "," "," ","1,500 (1,192 - 2,269)","3,000 (2,149 - 3,316)","1,027 (424 - 2,473)","2,237 (1,587 - 4,006)"
"Central Coast","Lake sockeye","Owikeno","191,314","2015-2019","66","fair","poor","8397.62%","1592.86%","9.52%"," "," "," "," "," "," ","188,308 (118,985 - 336,883)","399,206 (250,418 - 563,092)","228,258 (130,361 - 429,672)","350,206 (240,539 - 588,744)"
"Central Coast","Lake sockeye","Pine River"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Port John","542","2017-2021","44","fair","fair","0%","6502.38%","3497.62%"," "," "," "," "," "," ","284 (147 - 517)","600 (437 - 1,056)","151 (91 - 237)","582 (421 - 739)"
"Central Coast","Lake sockeye","Powles Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Price Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Roderick","302","2016-2020","43","poor","poor","9097.85%","811.46%","90.69%"," "," "," "," "," "," ","375 (289 - 416)","500 (401 - 586)","419 (169 - 1,185)","702 (212 - 1,834)"
"Central Coast","Lake sockeye","Ryan Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Salter"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Scoular/Kilpatrick"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Sheneeza Inlet"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Ship Point Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Soda Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","South Atnarko Lakes"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Spencer Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Stannard Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Talamoosa Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Tankeeah River","2,000","2020-2020","53","poor","fair","0%","9988.1%","11.9%"," "," "," "," "," "," ","2,000 (1,242 - 2,947)","3,400 (2,262 - 4,884)","579 (388 - 851)","2,580 (2,201 - 3,072)"
"Central Coast","Lake sockeye","Treneman Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Tsimtack/Moore/Roger","1,900","2017-2021","43","fair","fair","483.33%","5835.71%","3680.95%"," "," "," "," "," "," ","1,500 (1,161 - 3,164)","3,000 (2,787 - 6,268)","415 (114 - 1,900)","1,860 (891 - 4,998)"
"Central Coast","Lake sockeye","Tuno Creek East"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Tuno Creek West"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Tuwartz"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Tyler Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Wale Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Wannock (Owikeno)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Watt Bay"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","West Creek"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Yaaklele Lagoon"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Yeo","735","2017-2021","51","fair","good","0%","2442.86%","7557.14%"," "," "," "," "," "," ","370 (225 - 594)","900 (550 - 1,187)","174 (112 - 254)","687 (568 - 831)"
"Central Coast","Pink (even)","Hecate Lowlands (even)","449,484","2020-2020","34","poor","fair","1211.9%","6680.95%","2107.14%"," "," "," "," "," "," ","462,836 (352,152 - 738,824)","785,495 (577,531 - 1,017,494)","196,766 (75,732 - 599,184)","484,492 (340,991 - 951,558)"
"Central Coast","Pink (even)","Hecate Strait-Fjords (even)","11,874,814","2020-2020","34","good","good","0%","0%","10000%"," "," "," "," "," "," ","1,879,552 (1,032,928 - 3,122,629)","3,327,170 (2,636,471 - 4,843,547)","539,280 (410,942 - 736,519)","1,826,131 (1,533,526 - 2,166,551)"
"Central Coast","Pink (odd)","Hecate Strait-Fjords (odd)","1,295,152","2021-2021","34","good","good","30.95%","464.29%","9504.76%"," "," "," "," "," "," ","650,796 (470,995 - 1,107,065)","1,101,868 (751,474 - 1,872,084)","517,576 (320,240 - 892,151)","871,156 (649,349 - 1,324,878)"
"Central Coast","Pink (odd)","Hecate Strait-Lowlands (odd)","614,739","2021-2021","34","good","good","0%","14.29%","9985.71%"," "," "," "," "," "," ","377,772 (277,275 - 604,818)","601,260 (468,083 - 814,152)","150,690 (85,960 - 274,800)","342,864 (277,692 - 467,401)"
"Central Coast","Pink (odd)","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)","461,427","2021-2021","33","fair","good","408.27%","3601.31%","5990.42%"," "," "," "," "," "," ","393,923 (105,603 - 916,806)","903,180 (322,430 - 1,777,995)","202,549 (45,292 - 470,181)","430,667 (0 - 762,407)"
"Central Coast","River sockeye","Northern Coastal Fjords (river-type)","2,318","2018-2021","62","poor","poor","10000%","0%","0%"," "," "," "," "," "," ","16,026 (4,706 - 31,847)","65,074 (11,309 - 67,456)","31,101 (15,975 - 77,288)","48,550 (31,722 - 102,593)"
"Central Coast","River sockeye","Northern Coastal Streams (river-type)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","River sockeye","Rivers-Smith Inlets (river-type)"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Steelhead","Central Coast Winter"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Steelhead","North Coast Summer"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Steelhead","North Coast Winter"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Steelhead","Transition Summer"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Fraser","Chinook","Boundary Bay (Fall 4-1)","167","2015-2018","24","good"," "," "," "," "," "," ","Threatened","2018"," "," ","75 (59 - 123)","156 (100 - 196)"," ",""
"Fraser","Chinook","Fraser Canyon-Nahatlatch (Spring 5-2)","7","2014-2018","17","poor"," "," "," "," ","Data Deficient","2012","Endangered","2015"," "," ","8 (3 - 16)","17 (10 - 36)"," ",""
"Fraser","Chinook","Lower Fraser River-Maria Slough (Summer 4-1)","238","2014-2017","22","fair"," "," "," "," "," "," ","Endangered","2018"," "," ","236 (172 - 347)","420 (314 - 627)"," ",""
"Fraser","Chinook","Lower Fraser River-Upper Pitt (Summer 5-2)","83","2014-2018","14","poor"," "," "," "," ","Data Deficient","2012","Endangered","2015"," "," ","90 (91 - 102)","140 (101 - 179)"," ",""
"Fraser","Chinook","Lower Fraser River (Fall 4-1)","49,250","2015-2018","35","fair"," "," "," "," ","Green","2012","Threatened","2015"," "," ","45,622 (42,217 - 69,411)","84,180 (64,113 - 98,207)"," ",""
"Fraser","Chinook","Lower Fraser River (Spring 5-2)","287","2014-2018","24","fair"," "," "," "," "," "," ","Special Concern","2015"," "," ","237 (196 - 417)","470 (407 - 597)"," ",""
"Fraser","Chinook","Lower Fraser River (Summer 5-2)","828","2014-2018","14","good"," "," "," "," ","Data Deficient","2012","Threatened","2015"," "," ","410 (345 - 488)","608 (475 - 695)"," ",""
"Fraser","Chinook","Lower Thompson River (Spring 4-2)","6,655","2015-2018","24","poor"," "," "," "," ","Red","2012","Endangered","2018"," "," ","6,667 (4,570 - 8,817)","11,498 (8,489 - 15,469)"," ",""
"Fraser","Chinook","Middle Fraser River-Portage (Fall 5-2)","35","2014-2018","19","poor"," "," "," "," ","Red","2012","Endangered","2015"," "," ","42 (32 - 61)","77 (54 - 104)"," ",""
"Fraser","Chinook","Middle Fraser River (Spring 5-2)","3,577","2014-2018","24","fair"," "," "," "," ","Red","2012","Threatened","2015"," "," ","2,500 (2,151 - 3,329)","3,856 (3,313 - 5,148)"," ",""
"Fraser","Chinook","Middle Fraser River (Summer 5-2)","9,949","2014-2018","20","fair"," "," "," "," ","Amber","2012","Threatened","2015"," "," ","8,673 (6,877 - 12,150)","15,142 (10,412 - 17,365)"," ",""
"Fraser","Chinook","North Thompson River (Spring 5-2)","82","2014-2018","20","poor"," "," "," "," ","Red","2012","Endangered","2015"," "," ","155 (75 - 178)","231 (137 - 300)"," ",""
"Fraser","Chinook","North Thompson River (Summer 5-2)","2,494","2014-2018","22","poor"," "," "," "," ","Red","2012","Endangered","2015"," "," ","2,801 (1,931 - 4,969)","7,730 (3,965 - 7,961)"," ",""
"Fraser","Chinook","Shuswap River (Summer 4-1)","17,412","2015-2018","24","poor"," "," "," "," "," "," ","Not at risk","2015"," "," ","19,510 (16,776 - 22,405)","29,672 (23,233 - 40,496)"," ",""
"Fraser","Chinook","South Thompson-Adams River Upper","101","2018-2018","14","good"," "," "," "," "," "," "," "," "," "," ","62 (43 - 61)","99 (70 - 88)"," ",""
"Fraser","Chinook","South Thompson River-Bessette Creek (Summer 4-2)","15","2015-2018","23","fair"," "," "," "," ","Red","2012","Endangered","2015"," "," ","14 (8 - 38)","85 (38 - 133)"," ",""
"Fraser","Chinook","South Thompson River (Summer 4-1)","82,171","2015-2018","22","good"," "," "," "," ","Green","2012","Not at risk","2015"," "," ","45,820 (34,521 - 56,476)","66,527 (53,772 - 80,892)"," ",""
"Fraser","Chinook","South Thompson River (Summer 5-2)","944","2014-2018","20","fair"," "," "," "," ","Red_amber","2012","Endangered","2018"," "," ","788 (664 - 925)","1,073 (977 - 1,174)"," ",""
"Fraser","Chinook","Upper Fraser River (Spring 5-2)","11,974","2014-2018","24","fair"," "," "," "," ","Red","2012","Endangered","2015"," "," ","8,182 (7,117 - 11,323)","13,543 (10,209 - 16,851)"," ",""
"Fraser","Chum","Lower Fraser"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Fraser","Coho","Boundary Bay"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Fraser","Coho","Fraser Canyon","4,325","2020-2022","39","good"," "," "," "," ","Amber","2011","Threatened","2015"," "," ","2,288 (1,365 - 3,403)","4,096 (2,507 - 5,472)"," ",""
"Fraser","Coho","Interior Fraser","10,861","2020-2022","39","good"," "," "," "," ","Amber","2011","Threatened","2015"," "," ","2,336 (1,799 - 3,086)","3,920 (3,144 - 4,912)"," ",""
"Fraser","Coho","Lillooet"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Fraser","Coho","Lower Fraser"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Fraser","Coho","Lower Thompson","20,738","2020-2022","39","good"," "," "," "," ","Amber_green","2011","Threatened","2015"," "," ","4,728 (3,552 - 6,367)","7,431 (5,945 - 9,408)"," ",""
"Fraser","Coho","North Thompson","24,558","2020-2022","39","good"," "," "," "," ","Amber_green","2011","Threatened","2015"," "," ","8,797 (6,064 - 11,600)","12,778 (10,873 - 16,246)"," ",""
"Fraser","Coho","South Thompson","15,367","2020-2022","39","good"," "," "," "," ","Amber","2011","Threatened","2015"," "," ","3,454 (2,587 - 5,448)","8,560 (5,150 - 11,044)"," ",""
"Fraser","Lake sockeye","Adams-Early Summer"," ",""," "," "," "," "," "," "," "," ","Extinct","2021"," "," "," "," "," ",""
"Fraser","Lake sockeye","Alouette-Early Summer"," ",""," "," "," "," "," "," "," "," ","Special Concern","2021"," "," "," "," "," ",""
"Fraser","Lake sockeye","Anderson-Seton-Early Summer","9,246","2019-2022","46","fair","fair","428.57%","9571.43%","0%","Amber_green","2014","Not at risk","2015"," "," ","4,868 (4,113 - 7,726)","9,898 (7,868 - 15,233)","4,616 (2,466 - 9,268)","18,278 (13,095 - 28,725)"
"Fraser","Lake sockeye","Bowron-Early Summer","511","2019-2022","46","poor","poor","10000%","0%","0%","Red","2014","Endangered","2015"," "," ","1,751 (1,052 - 2,651)","3,574 (2,513 - 5,294)","1,731 (852 - 4,078)","7,097 (4,388 - 12,388)"
"Fraser","Lake sockeye","Chilko-Early Summer","48,873","1986-1989","13","good"," "," "," "," ","Green","2014","Not at risk","2015"," "," ","7,339 (2,071 - 16,747)","20,128 (16,604 - 34,661)"," ",""
"Fraser","Lake sockeye","Chilko-Summer","295,505","2019-2022","46","fair","fair","0%","8500%","1500%","Green","2014","Not at risk","2015"," "," ","241,843 (173,338 - 362,512)","460,813 (358,061 - 581,111)","75,520 (40,545 - 143,028)","325,695 (248,058 - 449,643)"
"Fraser","Lake sockeye","Chilliwack-Early Summer (cyclic)","4,276","2019-2022","46","good"," "," "," "," ","Amber_green","2014","Not at risk","2015"," "," ","1,050 (521 - 1,910)","2,795 (1,706 - 4,882)"," ",""
"Fraser","Lake sockeye","Coquitlam-Early Summer"," ",""," "," "," "," "," "," "," "," ","Special Concern","2021"," "," "," "," "," ",""
"Fraser","Lake sockeye","Cultus-Late","233","2019-2022","46","poor"," "," "," "," ","Red","2014","Endangered","2015"," "," ","656 (378 - 910)","1,334 (812 - 3,123)"," ",""
"Fraser","Lake sockeye","Francois-Fraser-Summer","74,239","2019-2022","46","fair","fair","11.9%","9754.76%","233.33%","Amber_green","2014","Special Concern","2015"," "," ","63,088 (46,451 - 86,474)","99,645 (89,975 - 126,365)","25,050 (11,139 - 46,379)","97,353 (72,221 - 146,584)"
"Fraser","Lake sockeye","Fraser-Early Summer"," ",""," "," "," "," "," "," "," "," ","Endangered","2021"," "," "," "," "," ",""
"Fraser","Lake sockeye","Harrison-Downstream Migrating-Late","398","2019-2022","46","poor","poor","10000%","0%","0%","Amber_green","2014","Special Concern","2015"," "," ","620 (279 - 1,657)","2,080 (903 - 4,656)","1,951 (740 - 6,964)","5,877 (3,132 - 17,597)"
"Fraser","Lake sockeye","Harrison-Upstream Migrating-Late","6,248","2019-2022","46","poor","poor","9259.52%","740.48%","0%","Red","2014","Endangered","2015"," "," ","24,842 (8,054 - 29,909)","40,036 (27,249 - 54,108)","10,175 (3,659 - 21,949)","49,773 (32,200 - 90,049)"
"Fraser","Lake sockeye","Kamloops-Early Summer","4,071","2019-2022","46","fair","fair","3661.9%","6338.1%","0%","Amber","2014","Special Concern","2015"," "," ","2,853 (2,035 - 6,341)","7,402 (4,794 - 13,449)","3,079 (1,669 - 6,341)","14,954 (10,911 - 23,272)"
"Fraser","Lake sockeye","Kawkawa-Late"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Fraser","Lake sockeye","Lillooet-Harrison-Late","18,559","2019-2022","46","poor","poor","7035.71%","2964.29%","0%","Amber","2014","Special Concern","2015"," "," ","43,084 (22,211 - 54,927)","56,230 (45,303 - 110,336)","19,715 (9,496 - 41,437)","66,068 (44,243 - 102,388)"
"Fraser","Lake sockeye","Momich-Early Summer"," ",""," "," "," "," "," "," "," "," ","Endangered","2021"," "," "," "," "," ",""
"Fraser","Lake sockeye","Nadina-Francois-Early Summer","41,381","2019-2022","46","good","good","0%","0%","10000%","Amber_green","2014","Not at risk","2015"," "," ","6,303 (3,646 - 9,197)","13,650 (10,391 - 20,511)","991 (441 - 1,754)","7,772 (5,648 - 9,452)"
"Fraser","Lake sockeye","Nahatlatch-Early Summer","3,004","2019-2022","46","good","fair","350%","9371.43%","278.57%","Amber","2014","Special Concern","2015"," "," ","1,904 (1,364 - 2,597)","2,744 (2,307 - 4,611)","984 (459 - 2,775)","4,053 (2,713 - 8,319)"
"Fraser","Lake sockeye","North Barriere-Early Summer"," ",""," "," "," "," "," "," "," "," ","Extinct","2021"," "," "," "," "," ",""
"Fraser","Lake sockeye","North Barriere-Early Summer (de novo)","1,249","2019-2022","46","poor","poor","9726.19%","273.81%","0%","Red","2014","Threatened","2021"," "," ","2,004 (1,397 - 3,801)","5,908 (3,226 - 8,389)","2,185 (782 - 9,366)","7,164 (4,378 - 21,730)"
"Fraser","Lake sockeye","Pitt-Early Summer","10,825","2019-2022","46","poor","fair","609.52%","9390.48%","0%","Green","2014","Not at risk","2015"," "," ","15,857 (10,230 - 23,327)","29,442 (19,229 - 39,885)","6,442 (3,679 - 11,438)","17,126 (13,639 - 23,138)"
"Fraser","Lake sockeye","Quesnel-Summer (cyclic)","34,957","2019-2022","46","fair"," "," "," "," ","Red_amber","2014","Endangered","2015"," "," ","20,827 (6,532 - 38,489)","132,024 (37,265 - 240,457)"," ",""
"Fraser","Lake sockeye","Seton-Late (de novo)","863","2019-2022","46","poor","poor","9988.1%","11.9%","0%","Red","2014","Endangered","2021"," "," ","1,716 (702 - 3,062)","6,280 (2,915 - 8,355)","2,550 (1,119 - 5,712)","11,974 (6,884 - 21,764)"
"Fraser","Lake sockeye","Seton-Summer"," ",""," "," "," "," "," "," "," "," ","Extinct","2021"," "," "," "," "," ",""
"Fraser","Lake sockeye","Shuswap-Early Summer (cyclic)","15,729","2019-2022","46","fair"," "," "," "," ","Amber","2014","Not at risk","2015"," "," ","13,296 (9,196 - 20,931)","30,710 (25,574 - 60,609)"," ",""
"Fraser","Lake sockeye","Shuswap-Late (cyclic)","7,519","2019-2022","46","poor"," "," "," "," ","Amber_green","2014","Not at risk","2015"," "," ","10,108 (2,861 - 16,322)","67,346 (25,175 - 285,387)"," ",""
"Fraser","Lake sockeye","Takla-Trembleur-Early Stuart (cyclic)","1,377","2019-2022","46","poor"," "," "," "," ","Red","2014","Endangered","2015"," "," ","24,043 (7,546 - 26,490)","46,893 (23,394 - 75,196)"," ",""
"Fraser","Lake sockeye","Takla-Trembleur-Stuart-Summer (cyclic)","31,079","2019-2022","46","fair"," "," "," "," ","Red_amber","2014","Endangered","2015"," "," ","13,960 (8,697 - 29,427)","70,594 (31,441 - 85,419)"," ",""
"Fraser","Lake sockeye","Taseko-Early Summer","534","2020-2022","38","fair"," "," "," "," ","Red","2014","Endangered","2015"," "," ","182 (86 - 297)","679 (268 - 994)"," ",""
"Fraser","Pink (odd)","Fraser River (odd)","9,542,025","2023-2023","34","good","good","0%","0%","10000%"," "," "," "," "," "," ","2,026,245 (1,514,191 - 6,676,983)","4,560,028 (2,415,300 - 11,284,061)","956,528 (742,744 - 1,213,479)","3,576,328 (3,112,448 - 3,994,187)"
"Fraser","River sockeye","Harrison River (river-type)","26,834","2019-2022","46","good","fair","1650%","8350%","0%","Green","2014","Not at risk","2015"," "," ","4,381 (2,467 - 14,085)","12,258 (8,149 - 40,384)","17,950 (10,311 - 33,840)","81,687 (59,391 - 121,267)"
"Fraser","River sockeye","Widgeon (river-type)","186","2019-2022","45","fair"," "," "," "," ","Red","2014","Threatened","2015"," "," ","138 (76 - 219)","257 (156 - 453)"," ",""
"Fraser","Steelhead","Boundary Bay Winter"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Fraser","Steelhead","Fraser Canyon Summer"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Fraser","Steelhead","Lower Fraser Summer"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Fraser","Steelhead","Lower Fraser Winter"," ",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Fraser","Steelhead","Mid Fraser Summer","66","2017-2021","50","poor"," "," "," "," "," "," ","Endangered","2020","Extreme Conservation Concern","2022","374 (143 - 452)","641 (284 - 789)"," ",""
"Fraser","Steelhead","Thompson Summer","214","2017-2021","44","poor"," "," "," "," "," "," ","Endangered","2020","Extreme Conservation Concern","2022","888 (413 - 905)","1,224 (648 - 1,467)"," ",""
"Vancouver Island & Mainland Inlets","Chinook","East Vancouver Island-Cowichan and Koksilah (Fall x-1)","8,509","2014-2018","24","good"," "," "," "," "," "," ","Special Concern","2018"," "," ","2,840 (2,009 - 4,406)","4,558 (3,088 - 6,303)"," ",""
"Vancouver Island & Mainland Inlets","Chinook","East Vancouver Island-Georgia Strait (Summer 4-1)","1,031","2014-2018","24","poor"," "," "," "," "," "," ","Endangered","2018"," "," ","1,050 (978 - 1,260)","1,286 (1,240 - 1,586)"," ",""
"Vancouver Island & Mainland Inlets","Chinook","East Vancouver Island-Goldstream (Fall x-1)","4","2014-2018","18","poor"," "," "," "," "," "," ","Special Concern","2018"," "," ","16 (3 - 28)","51 (19 - 103)"," ",""
"Vancouver Island & Mainland Inlets","Chinook","East Vancouver Island-Nanaimo (Spring x-2)"," ",""," "," "," "," "," "," ","Data Deficient","2012","Endangered","2015"," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Chinook","East Vancouver Island-Nanaimo and Chemainus (Fall x-1)","2,325","2014-2018","24","good"," "," "," "," "," "," ","Special Concern","2018"," "," ","1,567 (1,353 - 1,623)","2,099 (1,702 - 2,139)"," ",""
"Vancouver Island & Mainland Inlets","Chinook","East Vancouver Island-North (Fall x-1)","7,359","2014-2018","19","poor"," "," "," "," ","Red","2012","Not at risk","2018"," "," ","7,585 (6,089 - 7,754)","8,458 (7,378 - 9,819)"," ",""
"Vancouver Island & Mainland Inlets","Chinook","East Vancouver Island-Qualicum and Puntledge (Fall x-1)","14,060","2014-2018","24","good"," "," "," "," "," "," ","Special Concern","2018"," "," ","10,582 (9,718 - 12,936)","13,012 (11,759 - 15,904)"," ",""
"Vancouver Island & Mainland Inlets","Chinook","Homathko (Summer x-x)"," ",""," "," "," "," "," "," ","Data Deficient","2012","Data Deficient","2015"," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Chinook","Klinaklini (Summer 5-2)"," ",""," "," "," "," "," "," ","Data Deficient","2012","Data Deficient","2015"," "," "," "," "," ",""
"Vancouver Island & Mainland Inlets","Chinook","Southern Mainland-Georgia Strait (Fall x-1)","588","2014-2018","14","good"," "," "," "," "," "," ","Data Deficient","2018"," "," ","351 (267 - 383)","515 (392 - 576)"," ",""
"Vancouver Island & Mainland Inlets","Chinook","Southern Mainland-Southern Fjords (Fall x-1)","2,349","2013-2017","16","good"," "," "," "," "," "," ","Data Deficient","2018"," "," ","240 (249 - 1,133)","780 (517 - 2,189)"," ",""
"Vancouver Island & Mainland Inlets","Chinook","West Vancouver Island-Nootka and Kyuquot (Fall x-1)","30,282","2014-2018","24","good"," "," "," "," ","Red","2012","Threatened","2018"," "," ","20,250 (13,368 - 21,975)","23,882 (22,742 - 26,712)"," ",""
"Vancouver Island & Mainland Inlets","Chinook","West Vancouver Island-North (Fall x-1)","2,281","2014-2018","20","fair"," "," "," "," "," "," ","Data Deficient","2018"," "," ","2,262 (1,696 - 2,464)","2,789 (2,669 - 3,262)"," ",""
"Vancouver Island & Mainland Inlets","Chinook","West Vancouver Island-South (Fall x-1)","48,607","2014-2018","24","good"," "," "," "," ","Red","2012","Threatened","2018"," "," ","34,700 (30,696 - 43,421)","45,176 (40,213 - 54,227)"," ",""
"Vancouver Island & Mainland Inlets","Chum","Bute Inlet","39,478","2015-2018","66","good"," "," "," "," "," "," "," "," "," "," ","12,229 (9,083 - 22,793)","30,516 (18,982 - 47,194)"," ",""
"Vancouver Island & Mainland Inlets","Chum","Georgia Strait","649,252","2015-2018","66","good"," "," "," "," "," "," "," "," "," "," ","394,418 (312,962 - 476,638)","543,763 (439,040 - 638,151)"," ",""
"Vancouver Island & Mainland Inlets","Chum","Howe Sound-Burrard Inlet","368,983","2015-2018","66","good"," "," "," "," "," "," "," "," "," "," ","96,977 (64,766 - 148,324)","182,856 (115,920 - 269,105)"," ",""
"Vancouver Island & Mainland Inlets","Chum","Loughborough","13,120","2015-2018","66","poor"," "," "," "," "," "," "," "," "," "," ","15,965 (11,841 - 18,230)","22,969 (19,011 - 28,707)"," ",""
