"Region","Species","Conservation.Unit","Current.Spawner.Abundance","Years","Years.of.Data","percentile_status","percentile_red_prob","percentile_yellow_prob","percentile_green_prob","sr_status","sr_red_prob","sr_yellow_prob","sr_green_prob","WSP","WSP.Year","COSEWIC","COSEWIC.Year","Province","Province.Year","S25","S50","Sgen","Smsy"
"Skeena","Chinook","Ecstall","1,514","2000-2001","16","fair","0.24","67.2","32.56"," "," "," "," "," "," "," "," "," "," ","1,311 (976 - 1,385)","1,748 (1,302 - 2,033)"," ",""
"Skeena","Chinook","Kalum-Early","837","2006-2011","31","poor","69.06","30.94","0"," "," "," "," "," "," "," "," "," "," ","890 (663 - 1,073)","1,138 (1,023 - 1,369)"," ",""
"Skeena","Chinook","Kalum-Late","7,502","2015-2020","37","poor","46.86","53.04","0.1","good","0%","0.3%","99.7%"," "," "," "," "," "," ","8,046 (6,273 - 8,747)","9,537 (8,281 - 11,150)","1,252 (527 - 2,889)","4,069 (3,354 - 5,499)"
"Skeena","Chinook","Lakelse"," ",""," "," ","92.04","7.96","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Chinook","Lower Skeena","1,359","2015-2020","37","poor","99.76","0.24","0","fair","10.2%","85.6%","4.2%"," "," "," "," "," "," ","1,951 (1,525 - 2,236)","2,692 (2,236 - 3,370)","666 (295 - 1,733)","1,611 (1,253 - 2,720)"
"Skeena","Chinook","Middle Skeena-Large Lakes","9,792","2015-2020","37","poor","92.04","7.96","0","fair","14.5%","85.3%","0.2%"," "," "," "," "," "," ","12,548 (9,147 - 15,736)","19,165 (14,211 - 24,147)","4,700 (2,249 - 14,091)","13,853 (9,840 - 25,266)"
"Skeena","Chinook","Middle Skeena-Mainstem Tributaries","3,000","2015-2020","37","poor","99.56","0.44","0","fair","20%","80%","0%"," "," "," "," "," "," ","4,353 (3,349 - 6,250)","8,707 (5,553 - 9,723)","1,689 (727 - 4,907)","5,379 (4,075 - 9,434)"
"Skeena","Chinook","Skeena Estuary"," ",""," "," ","92.04","7.96","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Chinook","Upper Bulkley River","1,927","2001-2006","26","good","0","0.06","99.94"," "," "," "," "," "," "," "," "," "," ","536 (362 - 813)","968 (642 - 1,490)"," ",""
"Skeena","Chinook","Upper Skeena","1,721","2015-2020","37","poor","96.86","3.14","0","fair","40.5%","59.5%","0%"," "," "," "," "," "," ","2,197 (1,693 - 3,359)","3,840 (2,781 - 5,185)","1,288 (494 - 3,561)","3,570 (2,475 - 6,945)"
"Skeena","Chinook","Zymoetz","927","2015-2020","37","poor","99.9","0.1","0","fair","18.2%","80.9%","0.9%"," "," "," "," "," "," ","1,465 (1,171 - 1,918)","2,144 (1,811 - 2,612)","495 (169 - 1,422)","1,251 (910 - 2,302)"
"Skeena","Chum","Lower Skeena","1,824","2014-2017","61","poor","100","0","0","poor","100%","0%","0%"," "," "," "," "," "," ","6,265 (3,737 - 8,273)","10,271 (7,340 - 13,759)","9,394 (5,808 - 15,720)","13,530 (8,514 - 21,482)"
"Skeena","Chum","Middle Skeena","861","2014-2017","57","fair","3.38","67.04","29.58"," "," "," "," "," "," "," "," "," "," ","665 (311 - 890)","1,265 (593 - 1,674)"," ",""
"Skeena","Chum","Skeena Estuary","407","2016-2017","40","fair","80.16","19.82","0.02"," "," "," "," "," "," "," "," "," "," ","327 (272 - 1,085)","1,093 (662 - 2,334)"," ",""
"Skeena","Chum","Upper Skeena"," ",""," "," ","80.16","19.82","0.02"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Coho","Lower Skeena","66,743","2015-2017","63","fair","50.08","49.76","0.16","poor","80.9%","19.1%","0%"," "," "," "," "," "," ","63,168 (49,185 - 90,413)","115,767 (78,186 - 141,928)","77,120 (45,561 - 148,197)","154,177 (109,633 - 253,966)"
"Skeena","Coho","Middle Skeena","167,245","2015-2017","64","good","0","0.02","99.98","good","0%","0%","100%"," "," "," "," "," "," ","50,513 (30,510 - 76,185)","74,298 (57,574 - 121,964)","25,058 (16,028 - 42,548)","78,239 (62,093 - 102,990)"
"Skeena","Coho","Skeena Estuary","4,457","2013-2014","52","poor","70.68","29.32","0"," "," "," "," "," "," "," "," "," "," ","4,659 (3,751 - 6,248)","7,493 (5,672 - 9,473)"," ",""
"Skeena","Coho","Upper Skeena","12,914","2015-2017","34","good","0","0.48","99.52","good","0.2%","0.7%","99.1%"," "," "," "," "," "," ","5,848 (6,269 - 8,488)","8,578 (8,348 - 12,198)","2,214 (1,074 - 5,186)","6,155 (4,806 - 9,573)"
"Skeena","Lake sockeye","Alastair","5,485","2017-2022","63","poor","95.32","4.68","0","fair","0%","100%","0%"," "," "," "," "," "," ","8,881 (5,038 - 12,233)","15,541 (11,929 - 19,759)","4,134 (3,584 - 4,630)","9,757 (8,243 - 11,098)"
"Skeena","Lake sockeye","Asitika","453","2019-2023","38","fair","0.16","85.92","13.92","fair","5.5%","90.9%","3.6%"," "," "," "," "," "," ","209 (109 - 384)","575 (379 - 922)","155 (47 - 476)","606 (382 - 1,180)"
"Skeena","Lake sockeye","Azuklotz","3,271","2019-2023","54","good","0","4.98","95.02","good","0%","1.1%","98.9%"," "," "," "," "," "," ","1,038 (536 - 1,589)","2,761 (1,517 - 3,445)","1,094 (805 - 1,220)","2,571 (1,763 - 3,183)"
"Skeena","Lake sockeye","Babine (enhanced)","437,369","2019-2023","64","fair","0.04","22.52","77.44","good","0.5%","27.2%","72.4%"," "," "," "," "," "," ","294,656 (242,345 - 380,317)","450,396 (352,472 - 473,303)","72,613 (23,653 - 257,935)","310,847 (202,535 - 693,241)"
"Skeena","Lake sockeye","Babine/Onerka","15,862","2019-2023","64","poor","99.92","0.08","0","poor","50.7%","49.3%","0%"," "," "," "," "," "," ","26,627 (19,674 - 32,463)","42,021 (31,408 - 52,738)","14,421 (7,154 - 28,606)","29,952 (22,152 - 45,827)"
"Skeena","Lake sockeye","Bear","2,728","2019-2023","49","good","0","6.02","93.98","poor","100%","0%","0%"," "," "," "," "," "," ","698 (365 - 1,408)","2,020 (953 - 3,011)","7,757 (6,811 - 8,286)","14,726 (10,706 - 17,977)"
"Skeena","Lake sockeye","Bulkley/Maxan"," ",""," "," ","99.92","0.08","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Damshilgwit","360","2020-2023","23","fair","0","54.1","45.9","fair","0%","100%","0%"," "," "," "," "," "," ","294 (218 - 320)","366 (326 - 397)","123 (78 - 185)","1,424 (1,271 - 1,551)"
"Skeena","Lake sockeye","Ecstall/Lower"," ",""," "," ","95.32","4.68","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Footsore/Hodder"," ",""," "," ","0","0","100"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Gitanyow (Kitwanga/Kitwancool)","485","2019-2023","36","fair","42.64","57.14","0.22","poor","99.6%","0%","0.4%"," "," "," "," "," "," ","389 (302 - 721)","882 (626 - 1,666)","7,059 (2,626 - 7,713)","8,848 (0 - 15,572)"
"Skeena","Lake sockeye","Johanson","322","2019-2023","46","good","0","3.7","96.3"," "," "," "," "," "," "," "," "," "," ","100 (79 - 205)","250 (184 - 331)"," ",""
"Skeena","Lake sockeye","Johnston","280","2019-2023","34","poor","99.94","0.06","0","poor","75.9%","24.1%","0%"," "," "," "," "," "," ","850 (455 - 1,441)","1,500 (978 - 3,104)","330 (122 - 751)","2,585 (1,611 - 3,056)"
"Skeena","Lake sockeye","Kitsumkalum","20,312","2020-2023","61","good","0.4","10.56","89.04","good","0%","0%","100%"," "," "," "," "," "," ","2,127 (1,888 - 15,384)","6,381 (4,029 - 29,072)","3,322 (2,859 - 3,839)","9,382 (8,190 - 10,589)"
"Skeena","Lake sockeye","Kluatantan"," ",""," "," ","0","3.7","96.3"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Kluayaz"," ",""," "," ","0","3.7","96.3"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Lakelse","9,545","2019-2023","62","fair","18.42","79.12","2.46","good","0%","42.3%","57.7%"," "," "," "," "," "," ","6,561 (5,347 - 11,422)","11,592 (9,560 - 17,968)","6,824 (6,008 - 7,379)","9,404 (6,541 - 12,026)"
"Skeena","Lake sockeye","Mcdonell/Dennis/Aldrich","2,763","2019-2023","54","fair","5.74","94.12","0.14","good","0%","0%","100%"," "," "," "," "," "," ","1,525 (1,139 - 3,128)","3,786 (3,283 - 4,306)","589 (509 - 690)","1,967 (1,803 - 2,138)"
"Skeena","Lake sockeye","Morice/Atna","22,419","2018-2023","63","good","0","0","100","poor","100%","0%","0%"," "," "," "," "," "," ","3,962 (1,972 - 7,403)","7,580 (4,196 - 14,543)","36,873 (33,460 - 39,354)","63,505 (43,907 - 81,823)"
"Skeena","Lake sockeye","Motase","179","2019-2023","37","fair","54.7","45.3","0","poor","99.8%","0%","0.2%"," "," "," "," "," "," ","171 (106 - 266)","301 (274 - 440)","337 (285 - 372)","560 (336 - 786)"
"Skeena","Lake sockeye","Nilkitkwa","46,363","2019-2023","64","poor","100","0","0","poor","93.4%","6.6%","0%"," "," "," "," "," "," ","109,920 (74,143 - 140,414)","163,158 (121,012 - 223,924)","68,055 (31,551 - 166,626)","157,339 (114,326 - 294,946)"
"Skeena","Lake sockeye","Prudhomme","679","2015-2019","58","poor","100","0","0","poor","100%","0%","0%"," "," "," "," "," "," ","2,051 (1,787 - 3,770)","4,850 (3,288 - 6,021)","1,410 (984 - 2,025)","2,449 (2,023 - 3,031)"
"Skeena","Lake sockeye","Shawatlan","1,862","2013-2015","49","poor","65.54","34.42","0.04","good","1.3%","32.8%","65.9%"," "," "," "," "," "," ","2,000 (1,417 - 2,719)","4,000 (2,475 - 4,758)","687 (354 - 1,455)","1,707 (1,338 - 2,413)"
"Skeena","Lake sockeye","Sicintine"," ",""," "," ","54.7","45.3","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Slamgeesh"," ",""," "," ","54.7","45.3","0"," "," "," "," "," "," "," "," "," "," "," "," ","77 (29 - 174)","212 (157 - 318)"
"Skeena","Lake sockeye","Spawning"," ",""," "," ","54.7","45.3","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Lake sockeye","Stephens","11,724","2019-2023","61","fair","8.48","90.52","1","good","0%","0%","100%"," "," "," "," "," "," ","10,292 (6,876 - 12,405)","14,245 (12,018 - 17,233)","249 (119 - 539)","5,333 (4,755 - 5,785)"
"Skeena","Lake sockeye","Sustut","1,469","2019-2023","48","good","0","0.1","99.9","good","0%","0.1%","99.9%"," "," "," "," "," "," ","288 (196 - 598)","776 (503 - 1,129)","74 (29 - 184)","573 (431 - 821)"
"Skeena","Lake sockeye","Tahlo/Morrison","10,184","2019-2023","64","fair","13.98","85.84","0.18","fair","0.5%","99.1%","0.5%"," "," "," "," "," "," ","8,054 (6,762 - 11,799)","16,166 (12,211 - 22,161)","4,342 (2,475 - 7,694)","13,053 (10,495 - 17,754)"
"Skeena","Pink (even)","Middle-Upper Skeena (even)","160,195","2016-2016","32","fair","46.6","52.84","0.56","poor","68.2%","31.8%","0%"," "," "," "," "," "," ","158,829 (102,921 - 263,196)","252,856 (187,318 - 486,376)","169,953 (70,558 - 447,636)","313,085 (194,614 - 706,567)"
"Skeena","Pink (even)","Nass-Skeena Estuary (even)","6,047,266","2022-2022","35","good","0","0","100","good","0%","0%","100%"," "," "," "," "," "," ","681,988 (439,588 - 1,186,275)","1,145,818 (881,654 - 2,127,962)","245,118 (121,356 - 482,245)","718,553 (552,143 - 977,773)"
"Skeena","Pink (odd)","Lower Skeena River (odd)","176,055","2017-2017","32","poor","100","0","0","poor","89.7%","10.3%","0%"," "," "," "," "," "," ","567,705 (434,554 - 890,646)","995,218 (665,274 - 1,715,646)","241,424 (115,530 - 527,896)","767,185 (560,509 - 1,105,395)"
"Skeena","Pink (odd)","Middle-Upper Skeena (odd)","853,053","2017-2017","32","good","2.44","65.2","32.36","good","0.2%","13.7%","86%"," "," "," "," "," "," ","558,574 (356,885 - 852,322)","790,940 (655,636 - 1,225,164)","261,112 (130,336 - 503,263)","657,111 (494,956 - 1,001,580)"
"Skeena","Pink (odd)","Nass-Skeena Estuary (odd)","104,406","2017-2017","32","fair","16.42","68.58","15","poor","78.2%","21.5%","0.3%"," "," "," "," "," "," ","86,792 (43,435 - 141,512)","114,406 (76,973 - 266,788)","114,977 (49,744 - 431,652)","196,094 (104,375 - 599,828)"
"Skeena","River sockeye","Skeena River (river-type)"," ",""," "," ","0","0","100"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","River sockeye","Skeena River-High Interior (river-type)","196","2015-2019","15","good","0","0","100"," "," "," "," "," "," "," "," "," "," ","62 (18 - 73)","105 (79 - 95)"," ",""
"Skeena","Steelhead","Babine"," ",""," "," ","97.92","2.08","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Bulkley","27,186","2008-2012","28","good","0","0","100"," "," "," "," "," "," "," "," "," "," ","15,740 (15,033 - 17,469)","22,061 (17,339 - 25,390)"," ",""
"Skeena","Steelhead","Kispiox"," ",""," "," ","97.92","2.08","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Middle Skeena"," ",""," "," ","97.92","2.08","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Morice","27,186","2008-2012","28","good","0","0.04","99.96"," "," "," "," "," "," "," "," "," "," ","15,740 (15,001 - 17,510)","22,061 (17,407 - 25,309)"," ",""
"Skeena","Steelhead","Skeena Coastal Summers"," ",""," "," ","0","0","100"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Skeena Coastal Winters"," ",""," "," ","0","0.04","99.96"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Suskwa"," ",""," "," ","97.92","2.08","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Upper Skeena"," ",""," "," ","97.92","2.08","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Upper Skeena Headwaters"," ",""," "," ","16.42","68.58","15"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Skeena","Steelhead","Upper Sustut","223","2020-2024","60","poor","97.92","2.08","0"," "," "," "," "," "," "," "," ","Conservation Concern","2018","284 (226 - 501)","670 (394 - 812)"," ",""
"Nass","Chinook","Portland Sound-Observatory Inlet-Lower Nass","2,052","2018-2022","37","good","0","0.5","99.5","good","0%","0%","100%"," "," "," "," "," "," ","1,110 (1,046 - 1,322)","1,503 (1,341 - 1,912)","318 (215 - 508)","885 (782 - 1,057)"
"Nass","Chinook","Upper Nass","12,294","2018-2022","37","fair","17.02","82.9","0.08","good","0%","0.1%","99.9%"," "," "," "," "," "," ","11,509 (9,367 - 13,523)","16,808 (13,449 - 18,767)","2,225 (1,239 - 3,838)","8,270 (7,082 - 9,737)"
"Nass","Chum","Lower Nass","11,874","2013-2016","30","fair","30.8","65.52","3.68","poor","76.8%","12.9%","10.3%"," "," "," "," "," "," ","6,775 (3,794 - 23,157)","18,699 (11,024 - 58,136)","14,377 (229 - 61,882)","1,517 (0 - 103,732)"
"Nass","Chum","Portland Canal-Observatory","72,939","2019-2022","69","good","0","0","100","good","0%","0%","100%"," "," "," "," "," "," ","18,461 (13,992 - 27,764)","35,574 (25,099 - 45,492)","9,216 (5,432 - 15,034)","23,605 (19,356 - 30,599)"
"Nass","Chum","Portland Inlet","17,552","2016-2019","65","fair","0.3","85.98","13.72","good","0%","7.7%","92.3%"," "," "," "," "," "," ","13,311 (10,852 - 16,360)","20,263 (16,322 - 23,060)","5,968 (3,818 - 9,609)","14,044 (11,901 - 18,527)"
"Nass","Coho","Lower Nass","36,775","2020-2022","31","good","0","0.1","99.9","fair","0.9%","99.1%","0%"," "," "," "," "," "," ","12,496 (8,749 - 17,999)","23,700 (18,297 - 32,262)","15,659 (9,864 - 29,391)","53,430 (41,794 - 76,598)"
"Nass","Coho","Portland Sound-Observatory Inlet-Portland Canal","41,247","2020-2022","31","good","0","0","100","good","0.2%","35.9%","63.9%"," "," "," "," "," "," ","20,288 (11,343 - 24,141)","27,179 (24,030 - 32,124)","9,330 (4,228 - 20,916)","36,988 (26,740 - 59,215)"
"Nass","Coho","Upper Nass","89,227","2020-2022","31","good","0","0.98","99.02","good","0%","0%","100%"," "," "," "," "," "," ","48,562 (43,361 - 57,245)","71,137 (59,160 - 85,736)","960 (480 - 2,181)","5,660 (4,540 - 8,008)"
"Nass","Lake sockeye","Bowser"," ",""," "," ","0","0","100"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","Lake sockeye","Clements"," ",""," "," ","0","0","100"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","Lake sockeye","Damdochax","5,197","2018-2022","40","good","0","0","100","good","0.3%","14.5%","85.3%"," "," "," "," "," "," ","1,668 (897 - 2,156)","2,184 (1,920 - 3,456)","708 (319 - 1,971)","3,585 (2,319 - 6,690)"
"Nass","Lake sockeye","Fred Wright","3,007","2018-2022","38","fair","0.9","93.12","5.98","fair","1.3%","98.7%","0%"," "," "," "," "," "," ","1,556 (922 - 2,720)","5,058 (2,694 - 7,387)","492 (167 - 1,904)","5,675 (3,786 - 11,126)"
"Nass","Lake sockeye","Kwinageese"," ",""," "," ","0.9","93.12","5.98"," "," "," "," "," "," "," "," "," "," "," "," ","705 (239 - 2,186)","4,385 (3,027 - 8,193)"
"Nass","Lake sockeye","Leverson"," ",""," "," ","0","0","100"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","Lake sockeye","Meziadin","159,003","2018-2022","41","good","0.02","39.28","60.7","good","0.1%","11.2%","88.8%"," "," "," "," "," "," ","126,468 (108,518 - 145,669)","158,010 (136,941 - 179,649)","26,157 (12,091 - 70,308)","112,294 (80,791 - 183,907)"
"Nass","Lake sockeye","Oweegee"," ",""," "," ","0.02","39.28","60.7"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","Pink (even)","Upper Nass (even)"," ",""," "," ","0","0.76","99.24"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","Pink (odd)","Nass-Portland-Observatory (odd)","900,891","2021-2021","34","good","0.02","4.04","95.94","good","0.1%","2.1%","97.7%"," "," "," "," "," "," ","254,901 (136,196 - 589,122)","483,718 (293,909 - 942,915)","172,456 (77,330 - 443,519)","439,920 (285,580 - 798,335)"
"Nass","Pink (odd)","Upper Nass (odd)"," ",""," "," ","0.02","4.04","95.94"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Nass","River sockeye","Lower Nass-Portland (river-type)","28,265","2019-2022","41","good","0","0","100","good","0.3%","3.6%","96.1%"," "," "," "," "," "," ","2,701 (2,138 - 7,616)","7,097 (4,615 - 15,569)","3,356 (1,065 - 11,766)","10,647 (5,851 - 26,285)"
"Nass","River sockeye","Upper Nass River (river-type)","428","2019-2022","23","good","0","0.76","99.24","good","3.2%","23.5%","73.3%"," "," "," "," "," "," ","197 (71 - 208)","351 (194 - 381)","41 (7 - 327)","267 (132 - 1,121)"
"Nass","Steelhead","Nass Summer","10,366","2018-2022","58","fair","4.8","90.86","4.34"," "," "," "," "," "," "," "," "," "," ","7,924 (6,207 - 10,749)","11,863 (10,092 - 15,371)"," ",""
"Nass","Steelhead","Nass Winter"," ",""," "," ","4.8","90.86","4.34"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Chinook","Bella Coola-Bentinck","22,821","2013-2017","33","good","0","0.2","99.8","good","0%","0%","100%"," "," "," "," "," "," ","14,425 (11,203 - 16,668)","20,800 (15,406 - 21,131)","2,935 (1,684 - 5,431)","9,413 (7,955 - 11,965)"
"Central Coast","Chinook","Dean River","2,217","2013-2017","33","good","0","10.62","89.38","good","0%","0%","100%"," "," "," "," "," "," ","1,300 (1,077 - 1,531)","2,000 (1,529 - 2,407)","280 (157 - 517)","955 (819 - 1,204)"
"Central Coast","Chinook","Docee","439","2008-2011","30","poor","92.86","7.14","0"," "," "," "," "," "," "," "," "," "," ","469 (418 - 644)","781 (645 - 973)"," ",""
"Central Coast","Chinook","North & Central Coast-Early","891","2013-2017","33","good","0","5.46","94.54","good","0%","0%","100%"," "," "," "," "," "," ","602 (374 - 648)","702 (606 - 924)","109 (63 - 200)","399 (321 - 501)"
"Central Coast","Chinook","North & Central Coast-Late","1,080","2017-2020","27","fair","0.36","65.68","33.96"," "," "," "," "," "," "," "," "," "," ","600 (262 - 868)","1,716 (725 - 1,814)"," ",""
"Central Coast","Chinook","Rivers Inlet","817","2013-2017","38","fair","28.7","70.26","1.04","fair","7.3%","89.3%","3.4%"," "," "," "," "," "," ","726 (476 - 1,089)","1,381 (878 - 1,949)","465 (244 - 903)","995 (743 - 1,472)"
"Central Coast","Chinook","Wannock","6,468","2013-2017","38","fair","0.02","68.46","31.52","good","0%","0%","100%"," "," "," "," "," "," ","5,535 (4,078 - 5,873)","6,599 (5,773 - 7,528)","769 (473 - 1,386)","3,023 (2,602 - 3,680)"
"Central Coast","Chum","Bella Coola River-Late","6,325","2018-2021","19","fair","3.16","93.3","3.54"," "," "," "," "," "," "," "," "," "," ","5,084 (2,982 - 6,424)","9,338 (6,191 - 14,541)"," ",""
"Central Coast","Chum","Bella Coola-Dean Rivers","115,116","2018-2021","68","fair","47.48","52.52","0","good","0%","31.9%","68.1%"," "," "," "," "," "," ","109,704 (82,280 - 156,107)","185,662 (154,490 - 236,819)","24,753 (15,005 - 44,864)","106,698 (88,589 - 135,942)"
"Central Coast","Chum","Douglas-Gardner","54,355","2018-2021","68","poor","98.92","1.08","0","poor","55%","45%","0%"," "," "," "," "," "," ","77,727 (58,234 - 116,413)","150,030 (109,595 - 213,108)","53,292 (34,863 - 82,031)","131,991 (111,467 - 172,805)"
"Central Coast","Chum","Hecate Lowlands","33,474","2018-2021","68","poor","100","0","0","poor","65%","35%","0%"," "," "," "," "," "," ","72,369 (57,275 - 83,985)","96,120 (82,731 - 110,137)","32,954 (19,351 - 65,073)","75,922 (60,107 - 112,085)"
"Central Coast","Chum","Mussel-Kynoch","21,837","2018-2021","68","poor","100","0","0","fair","18.6%","81.4%","0%"," "," "," "," "," "," ","50,880 (40,105 - 70,615)","104,354 (64,694 - 114,346)","17,047 (10,267 - 27,158)","50,483 (42,951 - 60,706)"
"Central Coast","Chum","Rivers Inlet","4,396","2018-2021","66","poor","96.68","3.32","0","poor","100%","0%","0%"," "," "," "," "," "," ","7,809 (4,278 - 11,637)","15,945 (10,442 - 26,773)","8,417 (5,706 - 13,361)","21,813 (17,253 - 28,505)"
"Central Coast","Chum","Smith Inlet","6,547","2018-2021","67","poor","99.98","0.02","0","poor","88.4%","11.6%","0%"," "," "," "," "," "," ","22,959 (11,218 - 29,814)","36,793 (24,376 - 53,789)","8,440 (4,798 - 14,143)","24,810 (20,573 - 31,145)"
"Central Coast","Chum","Spiller-Fitz-Hugh-Burke","91,839","2018-2021","68","poor","100","0","0","fair","9.5%","90.5%","0%"," "," "," "," "," "," ","161,904 (130,135 - 196,500)","231,612 (186,644 - 253,321)","59,165 (38,089 - 103,358)","135,827 (112,695 - 176,637)"
"Central Coast","Chum","Wannock"," ",""," "," ","96.68","3.32","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Coho","Bella Coola-Dean Rivers","19,375","2019-2021","68","poor","50.4","49.6","0","fair","0.4%","67.1%","32.5%"," "," "," "," "," "," ","19,703 (13,716 - 22,440)","31,366 (25,672 - 40,097)","8,963 (5,738 - 14,791)","20,022 (16,530 - 25,533)"
"Central Coast","Coho","Douglas Channel-Kitimat Arm","113,392","2019-2021","59","good","0","0.06","99.94","good","0%","0%","100%"," "," "," "," "," "," ","37,656 (31,030 - 57,791)","78,595 (54,419 - 95,181)","6,413 (3,322 - 13,460)","35,121 (29,225 - 44,403)"
"Central Coast","Coho","Hecate Strait Mainland","40,107","2019-2021","68","poor","99.22","0.78","0","poor","100%","0%","0%"," "," "," "," "," "," ","64,740 (43,576 - 111,281)","116,389 (70,236 - 177,638)","71,844 (51,714 - 117,040)","100,347 (75,380 - 140,239)"
"Central Coast","Coho","Mussel-Kynoch","2,207","2019-2021","65","poor","91.34","8.66","0","poor","89.9%","10.1%","0%"," "," "," "," "," "," ","2,880 (1,963 - 3,936)","4,767 (3,486 - 6,198)","2,701 (1,667 - 4,965)","4,616 (3,268 - 6,975)"
"Central Coast","Coho","Northern Coastal Streams","72,291","2019-2021","68","poor","55.1","44.88","0.02","good","0.1%","26.1%","73.8%"," "," "," "," "," "," ","73,400 (60,891 - 89,195)","105,053 (84,257 - 120,763)","35,867 (25,251 - 52,115)","66,768 (57,729 - 82,498)"
"Central Coast","Coho","Rivers Inlet","137,001","2011-2013","48","good","0","0","100"," "," "," "," "," "," "," "," "," "," ","14,582 (8,760 - 21,892)","30,750 (20,285 - 50,123)"," ",""
"Central Coast","Coho","Smith Inlet","9,038","2012-2014","35","good","1.64","47.36","51"," "," "," "," "," "," "," "," "," "," ","1,966 (2,011 - 8,485)","6,505 (4,701 - 16,337)"," ",""
"Central Coast","Lake sockeye","Backland","36","2017-2021","32","poor","0.94","72.4","26.66","poor","72.3%","19.7%","7.9%"," "," "," "," "," "," ","38 (12 - 33)","60 (28 - 61)","72 (3 - 1,357)","98 (0 - 2,620)"
"Central Coast","Lake sockeye","Banks"," ",""," "," ","42.54","57.46","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Bloomfield","810","2021-2021","59","good","0.38","49.3","50.32","fair","5%","85.7%","9.3%"," "," "," "," "," "," ","405 (243 - 670)","800 (490 - 1,373)","426 (216 - 829)","940 (652 - 1,644)"
"Central Coast","Lake sockeye","Bolton Creek"," ",""," "," ","0.38","49.3","50.32"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Bonilla"," ",""," "," ","0.38","49.3","50.32"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Borrowman Creek"," ",""," "," ","0.38","49.3","50.32"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Busey Creek"," ",""," "," ","0.38","49.3","50.32"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Canoona","3,305","2018-2021","47","good","0.06","47.64","52.3","good","0%","0.5%","99.5%"," "," "," "," "," "," ","1,400 (1,244 - 2,689)","3,210 (2,360 - 4,422)","566 (323 - 1,060)","1,939 (1,546 - 2,644)"
"Central Coast","Lake sockeye","Cartwright Creek"," ",""," "," ","0.38","49.3","50.32"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Chic Chic"," ",""," "," ","0.38","49.3","50.32"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Curtis Inlet","2,710","2013-2015","47","poor","85.26","14.74","0"," "," "," "," "," "," "," "," "," "," ","3,100 (1,888 - 5,925)","7,000 (5,088 - 11,391)"," ",""
"Central Coast","Lake sockeye","Dallain Creek"," ",""," "," ","85.26","14.74","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
"Central Coast","Lake sockeye","Deer"," ",""," "," ","85.26","14.74","0"," "," "," "," "," "," "," "," "," "," "," "," "," ",""
