"region","species_name","cuid","cu_name_pse","exp","curr_spw","curr_spw_start_year","curr_spw_end_year","cu_enh_rank","psf_status","cosewic_status","cosewic_status_yr","wsp_status","wsp_status_yr","rollup_hi_pct","rollup_mod_pct","rollup_lo_pct"
"Central Coast","Lake sockeye",525,"Owikeno",0,124339,2017,2021,"Low","poor",NA,NA,NA,NA,0.0475243408041949,0.156010498104895,0.79646516109091
"Central Coast","Lake sockeye",527,"Wannock (Owikeno)",NA,NA,NA,NA,"Low","data-deficient",NA,NA,NA,NA,0.0475243408041949,0.156010498104895,0.79646516109091
"Central Coast","Lake sockeye",528,"South Atnarko Lakes",NA,NA,NA,NA,"High","data-deficient",NA,NA,NA,NA,0.156365152626147,0.179791166604271,0.663843680769582
"Central Coast","Lake sockeye",529,"Backland",0,36,2017,2021,"None","poor",NA,NA,NA,NA,NA,0.287841962298715,0.712158037701285
"Central Coast","Lake sockeye",530,"Soda Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",532,"Canoona",0,3305,2017,2021,"None","good",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",533,"Dome",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",534,"Evelyn",0,1300,2017,2021,"None","good",NA,NA,NA,NA,NA,1,NA
"Central Coast","Lake sockeye",535,"Kainet Creek",0,1151,2017,2021,"None","good",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",536,"Kimsquit",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",537,"Kitkiata",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,1,NA
"Central Coast","Lake sockeye",538,"Kitlope",0,14780,2017,2021,"None","poor",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",539,"Pine River",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",540,"Banks",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",541,"Bloomfield",0,810,2017,2021,"None","fair",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",542,"Bolton Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",543,"Bonilla",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",544,"Borrowman Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",545,"Busey Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",546,"Cartwright Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",547,"Chic Chic",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",548,"Citeyats",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",549,"Fannie Cove",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",550,"Curtis Inlet",NA,NA,NA,NA,"Moderate","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",551,"Dallain Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",552,"Deer",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",553,"Devon",0.01,2180,2017,2021,"None","fair",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",554,"Douglas Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",555,"Elizabeth",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",556,"Elsie/Hoy",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,1,NA
"Central Coast","Lake sockeye",557,"End Hill Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",558,"Evinrude Inlet",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",559,"Freeda",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",560,"Hartley Bay",0,1145,2017,2021,"None","good",NA,NA,NA,NA,NA,1,NA
"Central Coast","Lake sockeye",561,"Hevenor Inlet",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",562,"Higgins Lagoon",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",563,"Kadjusdis River",0,3800,2017,2021,"Low","good",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",564,"Kdelmashan Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",565,"Keecha",0.01,1600,2017,2021,"None","good",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",566,"Kent Inlet Lagoon Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",567,"Kenzuwash Creeks",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",568,"Keswar Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",569,"Kildidt Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",570,"Kildidt Lagoon Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",571,"Kisameet",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",572,"Koeye",0.06,7488,2017,2021,"None","good",NA,NA,NA,NA,NA,0.12443914147421,0.87556085852579
"Central Coast","Lake sockeye",573,"Kooryet",0.01,446,2017,2021,"None","poor",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",574,"Kunsoot River",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,1,NA,NA
"Central Coast","Lake sockeye",575,"Kwakwa Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",576,"Lewis Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",577,"Limestone Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",578,"Lowe/Simpson/Weir",0.01,3061,2017,2021,"None","poor",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",579,"Mary Cove Creek",0,660,2017,2021,"Moderate","poor",NA,NA,NA,NA,NA,1,NA
"Central Coast","Lake sockeye",580,"Mcdonald Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",581,"Mcloughlin",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,1,NA,NA
"Central Coast","Lake sockeye",582,"Mikado",0.01,4410,2017,2021,"None","good",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",583,"Monckton Inlet Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",584,"Namu",0.03,3623,2017,2021,"None","good",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",585,"Port John",0.02,542,2017,2021,"None","good",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",586,"Powles Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",587,"Price Creek",NA,NA,NA,NA,"None","data-deficient",NA,NA,NA,NA,NA,NA,1
"Central Coast","Lake sockeye",588,"Roderick",0,264,2017,2021,"High","poor",NA,NA,NA,NA,NA,NA,1
