"Region","Species","Species.Qualified","Conservation.Unit","CUID","Full.CU.Index"
"Central Coast","Sockeye","SEL","Dome",533,"SEL-18-03"
"Central Coast","Sockeye","SEL","Douglas Creek",554,"SEL-19-15"
"Central Coast","Sockeye","SEL","Elizabeth",555,"SEL-19-16"
"Central Coast","Sockeye","SEL","Elsie/Hoy",556,"SEL-19-17"
"Central Coast","Sockeye","SEL","End Hill Creek",557,"SEL-19-18"
"Central Coast","Sockeye","SEL","Evelyn",534,"SEL-18-04"
"Central Coast","Sockeye","SEL","Evinrude Inlet",558,"SEL-19-19"
"Central Coast","Sockeye","SEL","Fannie Cove",549,"SEL-19-10"
"Central Coast","Sockeye","SEL","Freeda",559,"SEL-19-20"
"Central Coast","Sockeye","SEL","Hartley Bay",560,"SEL-19-21"
"Central Coast","Sockeye","SEL","Hevenor Inlet",561,"SEL-19-22"
"Central Coast","Sockeye","SEL","Higgins Lagoon",562,"SEL-19-23"
"Central Coast","Sockeye","SEL","Kadjusdis River",563,"SEL-19-24"
"Central Coast","Sockeye","SEL","Kainet Creek",535,"SEL-18-05"
"Central Coast","Sockeye","SEL","Kdelmashan Creek",564,"SEL-19-25"
"Central Coast","Sockeye","SEL","Keecha",565,"SEL-19-26"
"Central Coast","Sockeye","SEL","Kent Inlet Lagoon Creek",566,"SEL-19-27"
"Central Coast","Sockeye","SEL","Kenzuwash Creeks",567,"SEL-19-28"
"Central Coast","Sockeye","SEL","Keswar Creek",568,"SEL-19-29"
"Central Coast","Sockeye","SEL","Kildidt Creek",569,"SEL-19-30"
"Central Coast","Sockeye","SEL","Kildidt Lagoon Creek",570,"SEL-19-31"
"Central Coast","Sockeye","SEL","Kimsquit",536,"SEL-18-06"
"Central Coast","Sockeye","SEL","Kisameet",571,"SEL-19-32"
"Central Coast","Sockeye","SEL","Kitkiata",537,"SEL-18-07"
"Central Coast","Sockeye","SEL","Kitlope",538,"SEL-18-08"
"Central Coast","Sockeye","SEL","Koeye",572,"SEL-19-33"
"Central Coast","Sockeye","SEL","Kooryet",573,"SEL-19-34"
"Central Coast","Sockeye","SEL","Kunsoot River",574,"SEL-19-35"
"Central Coast","Sockeye","SEL","Kwakwa Creek",575,"SEL-19-36"
"Central Coast","Sockeye","SEL","Lewis Creek",576,"SEL-19-37"
"Central Coast","Sockeye","SEL","Limestone Creek",577,"SEL-19-38"
"Central Coast","Sockeye","SEL","Long",524,"SEL-15-01"
"Central Coast","Sockeye","SEL","Lowe/Simpson/Weir",578,"SEL-19-39"
"Central Coast","Sockeye","SEL","Mary Cove Creek",579,"SEL-19-40"
"Central Coast","Sockeye","SEL","Mcdonald Creek",580,"SEL-19-41"
"Central Coast","Sockeye","SEL","Mcloughlin",581,"SEL-19-42"
"Central Coast","Sockeye","SEL","Mikado",582,"SEL-19-43"
"Central Coast","Sockeye","SEL","Monckton Inlet Creek",583,"SEL-19-44"
"Central Coast","Sockeye","SEL","Namu",584,"SEL-19-45"
"Central Coast","Sockeye","SEL","Owikeno",525,"SEL-15-02"
"Central Coast","Sockeye","SEL","Pine River",539,"SEL-18-09"
"Central Coast","Sockeye","SEL","Port John",585,"SEL-19-46"
"Central Coast","Sockeye","SEL","Powles Creek",586,"SEL-19-47"
"Central Coast","Sockeye","SEL","Price Creek",587,"SEL-19-48"
"Central Coast","Sockeye","SEL","Roderick",588,"SEL-19-50"
"Central Coast","Sockeye","SEL","Ryan Creek",589,"SEL-19-51"
"Central Coast","Sockeye","SEL","Salter",590,"SEL-19-52"
"Central Coast","Sockeye","SEL","Scoular/Kilpatrick",591,"SEL-19-53"
"Central Coast","Sockeye","SEL","Sheneeza Inlet",592,"SEL-19-55"
"Central Coast","Sockeye","SEL","Ship Point Creek",593,"SEL-19-56"
"Central Coast","Sockeye","SEL","Soda Creek",530,"SEL-18-10"
"Central Coast","Sockeye","SEL","South Atnarko Lakes",528,"SX_528"
"Central Coast","Sockeye","SEL","Spencer Creek",594,"SEL-19-57"
"Central Coast","Sockeye","SEL","Stannard Creek",595,"SEL-19-58"
"Central Coast","Sockeye","SEL","Talamoosa Creek",596,"SEL-19-59"
"Central Coast","Sockeye","SEL","Tankeeah River",597,"SEL-19-60"
"Central Coast","Sockeye","SEL","Treneman Creek",598,"SEL-19-61"
"Central Coast","Sockeye","SEL","Tsimtack/Moore/Roger",599,"SEL-19-62"
"Central Coast","Sockeye","SEL","Tuno Creek East",600,"SEL-19-63"
"Central Coast","Sockeye","SEL","Tuno Creek West",601,"SEL-19-64"
"Central Coast","Sockeye","SEL","Tuwartz",548,"SEL-19-09"
"Central Coast","Sockeye","SEL","Tyler Creek",602,"SEL-19-65"
"Central Coast","Sockeye","SEL","Wale Creek",603,"SEL-19-66"
"Central Coast","Sockeye","SEL","Wannock (Owikeno)",527,"SEL-15-04"
"Central Coast","Sockeye","SEL","Watt Bay",604,"SEL-19-67"
"Central Coast","Sockeye","SEL","West Creek",605,"SEL-19-68"
"Central Coast","Sockeye","SEL","Yaaklele Lagoon",606,"SEL-19-69"
"Central Coast","Sockeye","SEL","Yeo",607,"SEL-19-70"
"Central Coast","Sockeye","SER","Northern Coastal Fjords (river-type)",614,"SER-16"
"Central Coast","Sockeye","SER","Northern Coastal Streams (river-type)",615,"SER-17"
"Central Coast","Sockeye","SER","Rivers-Smith Inlets (river-type)",613,"SER-12"
"Central Coast","Pink","PKO","Hecate Strait-Fjords (odd)",612,"PKO-13"
"Central Coast","Pink","PKO","Hecate Strait-Lowlands (odd)",611,"PKO-12"
"Central Coast","Pink","PKO","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)",610,"PKO-8"
"Central Coast","Pink","PKE","Hecate Lowlands (even)",608,"PKE-5"
"Central Coast","Pink","PKE","Hecate Strait-Fjords (even)",609,"PKE-6"
"Central Coast","Chinook","CK","Bella Coola-Bentinck",512,"CK-39"
"Central Coast","Chinook","CK","Dean River",513,"CK-40"
"Central Coast","Chinook","CK","Docee",509,"CK-36"
"Central Coast","Chinook","CK","North & Central Coast-Early",515,"CK-42"
"Central Coast","Chinook","CK","North & Central Coast-Late",514,"CK-41"
"Central Coast","Chinook","CK","Rivers Inlet",510,"CK-37"
"Central Coast","Chinook","CK","Wannock",511,"CK-38"
"Central Coast","Coho","CO","Bella Coola-Dean Rivers",518,"CO-22"
"Central Coast","Coho","CO","Douglas Channel-Kitimat Arm",522,"CO-29"
"Central Coast","Coho","CO","Hecate Strait Mainland",520,"CO-27"
"Central Coast","Coho","CO","Mussel-Kynoch",519,"CO-26"
"Central Coast","Coho","CO","Northern Coastal Streams",523,"CO-30"
"Central Coast","Coho","CO","Rivers Inlet",517,"CO-21"
"Central Coast","Coho","CO","Smith Inlet",516,"CO-20"
"Central Coast","Chum","CM","Bella Coola River-Late",505,"CM-17"
"Central Coast","Chum","CM","Bella Coola-Dean Rivers",504,"CM-16"
"Central Coast","Chum","CM","Douglas-Gardner",508,"CM-20"
"Central Coast","Chum","CM","Hecate Lowlands",506,"CM-18"
"Central Coast","Chum","CM","Mussel-Kynoch",507,"CM-19"
"Central Coast","Chum","CM","Rivers Inlet",501,"CM-13"
"Central Coast","Chum","CM","Smith Inlet",500,"CM-12"
"Central Coast","Chum","CM","Spiller-Fitz-Hugh-Burke",503,"CM-15"
"Central Coast","Chum","CM","Wannock",502,"CM-14"
"Central Coast","Steelhead","SH","Central Coast Winter",682,""
"Central Coast","Steelhead","SH","North Coast Summer",681,""
"Central Coast","Steelhead","SH","North Coast Winter",680,""
"Central Coast","Steelhead","SH","Transition Summer",683,""
"Fraser","Sockeye","SEL","Adams-Early Summer",760,""
"Fraser","Sockeye","SEL","Alouette-Early Summer",756,""
"Fraser","Sockeye","SEL","Anderson-Seton-Early Summer",719,"SEL-06-01"
"Fraser","Sockeye","SEL","Bowron-Early Summer",735,"SEL-07-01"
"Fraser","Sockeye","SEL","Chilko-Early Summer",720,"SEL-06-02"
"Fraser","Sockeye","SEL","Chilko-Summer",721,"SEL-06-03"
"Fraser","Sockeye","SEL","Chilliwack-Early Summer (cyclic)",711,"SEL-03-01"
"Fraser","Sockeye","SEL","Coquitlam-Early Summer",757,""
"Fraser","Sockeye","SEL","Cultus-Late",712,"SEL-03-02"
"Fraser","Sockeye","SEL","Francois-Fraser-Summer",725,"SEL-06-07"
"Fraser","Sockeye","SEL","Fraser-Early Summer",753,"SEL-06-06"
"Fraser","Sockeye","SEL","Harrison-Downstream Migrating-Late",713,"SEL-03-03"
"Fraser","Sockeye","SEL","Harrison-Upstream Migrating-Late",714,"SEL-03-04"
"Fraser","Sockeye","SEL","Kamloops-Early Summer",740,"SEL-10-01"
"Fraser","Sockeye","SEL","Kawkawa-Late",758,""
"Fraser","Sockeye","SEL","Lillooet-Harrison-Late",716,"SEL-04-01"
"Fraser","Sockeye","SEL","Momich-Early Summer",761,""
"Fraser","Sockeye","SEL","Nadina-Francois-Early Summer",727,"SEL-06-20"
"Fraser","Sockeye","SEL","Nahatlatch-Early Summer",718,"SEL-05-02"
"Fraser","Sockeye","SEL","North Barriere-Early Summer",763,""
"Fraser","Sockeye","SEL","North Barriere-Early Summer (de novo)",752,"SEL-10-03"
"Fraser","Sockeye","SEL","Pitt-Early Summer",715,"SEL-03-05"
"Fraser","Sockeye","SEL","Quesnel-Summer (cyclic)",728,"SEL-06-10"
"Fraser","Sockeye","SEL","Seton-Summer",759,""
"Fraser","Sockeye","SEL","Seton-Late (de novo)",729,"SEL-06-11"
"Fraser","Sockeye","SEL","Shuswap-Early Summer (cyclic)",738,"SEL-09-02"
"Fraser","Sockeye","SEL","Shuswap-Late (cyclic)",739,"SEL-09-03"
"Fraser","Sockeye","SEL","Takla-Trembleur-Stuart-Summer (cyclic)",731,"SEL-06-13"
"Fraser","Sockeye","SEL","Takla-Trembleur-Early Stuart (cyclic)",732,"SEL-06-14"
"Fraser","Sockeye","SEL","Taseko-Early Summer",734,"SEL-06-16"
"Fraser","Sockeye","SER","Harrison River (river-type)",745,"SER-03"
"Fraser","Sockeye","SER","Widgeon (river-type)",742,"SER-02"
"Fraser","Pink","PKO","Fraser River (odd)",710,"PKO-1"
"Fraser","Chinook","CK","Boundary Bay (Fall 4-1)",302,"CK-2"
"Fraser","Chinook","CK","Lower Fraser River (Fall 4-1)",303,"CK-3"
"Fraser","Chinook","CK","Lower Fraser River (Spring 5-2)",304,"CK-4"
"Fraser","Chinook","CK","Lower Fraser River-Upper Pitt (Summer 5-2)",305,"CK-5"
"Fraser","Chinook","CK","Lower Fraser River (Summer 5-2)",306,"CK-6"
"Fraser","Chinook","CK","Lower Fraser River-Maria Slough (Summer 4-1)",307,"CK-7"
"Fraser","Chinook","CK","Fraser Canyon-Nahatlatch (Spring 5-2)",308,"CK-8"
"Fraser","Chinook","CK","Middle Fraser River-Portage (Fall 5-2)",309,"CK-9"
"Fraser","Chinook","CK","Middle Fraser River (Spring 5-2)",310,"CK-10"
"Fraser","Chinook","CK","Middle Fraser River (Summer 5-2)",311,"CK-11"
"Fraser","Chinook","CK","Upper Fraser River (Spring 5-2)",312,"CK-12"
"Fraser","Chinook","CK","South Thompson River (Summer 4-1)",313,"CK-13"
"Fraser","Chinook","CK","South Thompson River (Summer 5-2)",314,"CK-14"
"Fraser","Chinook","CK","Shuswap River (Summer 4-1)",315,"CK-15"
"Fraser","Chinook","CK","South Thompson River-Bessette Creek (Summer 4-2)",316,"CK-16"
"Fraser","Chinook","CK","Lower Thompson River (Spring 4-2)",317,"CK-17"
"Fraser","Chinook","CK","North Thompson River (Spring 5-2)",318,"CK-18"
"Fraser","Chinook","CK","North Thompson River (Summer 5-2)",319,"CK-19"
"Fraser","Chinook","CK","South Thompson-Adams River Upper",333,"CK-82"
"Fraser","Coho","CO","Boundary Bay",906,"CO-1"
"Fraser","Coho","CO","Fraser Canyon",705,"CO-5"
"Fraser","Coho","CO","Interior Fraser",749,"CO-48"
"Fraser","Coho","CO","Lillooet",704,"CO-4"
"Fraser","Coho","CO","Lower Fraser",750,"CO-47"
"Fraser","Coho","CO","Lower Thompson",707,"CO-7"
"Fraser","Coho","CO","North Thompson",709,"CO-9"
"Fraser","Coho","CO","South Thompson",708,"CO-8"
"Fraser","Chum","CM","Lower Fraser",701,"CM-2"
"Fraser","Steelhead","SH","Boundary Bay Winter",785,""
"Fraser","Steelhead","SH","Fraser Canyon Summer",783,""
"Fraser","Steelhead","SH","Lower Fraser Summer",784,""
"Fraser","Steelhead","SH","Lower Fraser Winter",782,""
"Fraser","Steelhead","SH","Mid Fraser Summer",780,""
"Fraser","Steelhead","SH","Thompson Summer",781,""
"Haida Gwaii","Sockeye","SEL","Ain-Skundale-Ian",819,"SEL-17-01"
"Haida Gwaii","Sockeye","SEL","Awun",820,"SEL-17-02"
"Haida Gwaii","Sockeye","SEL","Fairfax",821,"SEL-17-03"
"Haida Gwaii","Sockeye","SEL","Jalun",822,"SEL-17-04"
"Haida Gwaii","Sockeye","SEL","Marian/Eden",823,"SEL-17-05"
"Haida Gwaii","Sockeye","SEL","Marie",828,"SEL-17-10"
"Haida Gwaii","Sockeye","SEL","Mathers",824,"SEL-17-06"
"Haida Gwaii","Sockeye","SEL","Mercer",825,"SEL-17-07"
"Haida Gwaii","Sockeye","SEL","Skidegate",826,"SEL-17-08"
"Haida Gwaii","Sockeye","SEL","Yakoun",827,"SEL-17-09"
"Haida Gwaii","Sockeye","SER","East Haida Gwaii (river-type)",816,"SER-13"
"Haida Gwaii","Sockeye","SER","North Haida Gwaii (river-type)",817,"SER-15"
"Haida Gwaii","Sockeye","SER","West Haida Gwaii (river-type)",818,"SER-14"
"Haida Gwaii","Pink","PKO","East Haida Gwaii (odd)",813,"PKO-9"
"Haida Gwaii","Pink","PKO","North Haida Gwaii (odd)",814,"PKO-10"
"Haida Gwaii","Pink","PKO","West Haida Gwaii (odd)",815,"PKO-11"
"Haida Gwaii","Pink","PKE","East Haida Gwaii (even)",811,"PKE-10"
"Haida Gwaii","Pink","PKE","North Haida Gwaii (even)",810,"PKE-9"
"Haida Gwaii","Pink","PKE","West Haida Gwaii (even)",812,"PKE-11"
"Haida Gwaii","Chinook","CK","East Haida Gwaii",806,"CK-44"
"Haida Gwaii","Chinook","CK","North Haida Gwaii",805,"CK-43"
"Haida Gwaii","Coho","CO","East Haida Gwaii",807,"CO-23"
"Haida Gwaii","Coho","CO","Haida Gwaii-Graham Island Lowlands",809,"CO-25"
"Haida Gwaii","Coho","CO","West Haida Gwaii",808,"CO-24"
"Haida Gwaii","Chum","CM","East Haida Gwaii",801,"CM-21"
"Haida Gwaii","Chum","CM","North Haida Gwaii",802,"CM-24"
"Haida Gwaii","Chum","CM","North Haida Gwaii-Stanley Creek",800,"CM-25"
"Haida Gwaii","Chum","CM","Skidegate",804,"CM-22"
"Haida Gwaii","Chum","CM","West Haida Gwaii",803,"CM-23"
"Haida Gwaii","Steelhead","SH","Haida Gwaii Winter",880,""
"Columbia","Sockeye","SEL","Osoyoos",1300,"SEL-01-01"
"Columbia","Chinook","CK","Okanagan",301,"CK-1"
"Columbia","Steelhead","SH","Mid Columbia Summer",1380,""
"Northern Transboundary","Sockeye","SEL","Blanchard",1031,"SEL-30-01"
"Northern Transboundary","Sockeye","SEL","Border",1024,"SEL-25-01"
"Northern Transboundary","Sockeye","SEL","Christina",1025,"SEL-26-01"
"Northern Transboundary","Sockeye","SEL","Chutine",1036,"SEL-26-03"
"Northern Transboundary","Sockeye","SEL","King Salmon",1033,"SEL-28-05"
"Northern Transboundary","Sockeye","SEL","Klukshu",1038,"SEL-30-02"
"Northern Transboundary","Sockeye","SEL","Kuthai",1027,"SEL-28-01"
"Northern Transboundary","Sockeye","SEL","Little Trapper",1028,"SEL-28-02"
"Northern Transboundary","Sockeye","SEL","Nesketahin",1039,"SEL-30-03"
"Northern Transboundary","Sockeye","SEL","Tahltan",1026,"SEL-26-02"
"Northern Transboundary","Sockeye","SEL","Tatsamenie",1029,"SEL-28-03"
"Northern Transboundary","Sockeye","SEL","Whiting",1037,"SEL-27-01"
"Northern Transboundary","Sockeye","SER","Alsek (river-type)",1021,"SER-24"
"Northern Transboundary","Sockeye","SER","Chilkat (river-type)",1022,"SER-023"
"Northern Transboundary","Sockeye","SER","Northern Transboundary Fjords (river-type)",1023,"SER-22, SER-22"
"Northern Transboundary","Pink","PKO","Transboundary Fjords (odd)",1020,"PKO-19"
"Northern Transboundary","Pink","PKE","Transboundary Fjords (even)",1019,"PKE-13"
"Northern Transboundary","Chinook","CK","Alsek",1004,"CK-67"
"Northern Transboundary","Chinook","CK","Lynn Canal",1005,"CK-66"
"Northern Transboundary","Chinook","CK","Stikine-Early Timing",1010,"CK-60"
"Northern Transboundary","Chinook","CK","Stikine-Late Timing",1011,"CK-61"
"Northern Transboundary","Chinook","CK","Taku-Early Timing",1006,"CK-63"
"Northern Transboundary","Chinook","CK","Taku-Late Timing",1008,"CK-65"
"Northern Transboundary","Chinook","CK","Taku-Mid Timing",1007,"CK-64"
"Northern Transboundary","Chinook","CK","Unuk",1012,"CK-59"
"Northern Transboundary","Chinook","CK","Whiting",1009,"CK-62"
"Northern Transboundary","Coho","CO","Alsek",1013,"CO-45"
"Northern Transboundary","Coho","CO","Lower Stikine",1017,"CO-39"
"Northern Transboundary","Coho","CO","Lynn Canal",1014,"CO-44"
"Northern Transboundary","Coho","CO","Taku-Early Timing",1034,"CO-43"
"Northern Transboundary","Coho","CO","Taku-Late Timing",1015,"CO-41"
"Northern Transboundary","Coho","CO","Taku-Mid Timing",1035,"CO-42"
"Northern Transboundary","Coho","CO","Unuk",1018,"CO-38"
"Northern Transboundary","Coho","CO","Whiting",1016,"CO-40"
"Northern Transboundary","Chum","CM","Lower Stikine",1032,"CM-34"
"Northern Transboundary","Chum","CM","Lynn Canal",1000,"CM-37"
"Northern Transboundary","Chum","CM","Taku",1001,"CM-36"
"Northern Transboundary","Chum","CM","Unuk",1003,"CM-33"
"Northern Transboundary","Chum","CM","Whiting",1002,"CM-35"
"Northern Transboundary","Steelhead","SH","Alsek Summer",1080,""
"Northern Transboundary","Steelhead","SH","Stikine Summer",1083,""
"Northern Transboundary","Steelhead","SH","Stikine Winter",1084,""
"Northern Transboundary","Steelhead","SH","Taku Summer",1081,""
"Northern Transboundary","Steelhead","SH","Taku Winter",1082,""
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Fulmore",927,"SEL-11-01"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Heydon",928,"SEL-11-02"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Ida-Bonanza",937,"SEL-12-01"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Kakweiken",929,"SEL-11-03"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Loose",930,"SEL-11-04"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Mackenzie",931,"SEL-11-05"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Nahwitti",938,"SEL-12-02"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Nimpkish",939,"SEL-12-03"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Phillips",932,"SEL-11-06"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Quatse",941,"SEL-12-05"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Sakinaw",933,"SEL-11-07"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Schoen",942,"SEL-12-06"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Shushartie",943,"SEL-12-07"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Tzoonie",935,"SEL-11-09"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Vernon",976,"SEL-12-09"
"East Vancouver Island & Mainland Inlets","Sockeye","SEL","Woss",944,"SEL-12-08"
"East Vancouver Island & Mainland Inlets","Sockeye","SER","East Vancouver Island & Georgia Strait (river-type)",973,"SER-08"
"East Vancouver Island & Mainland Inlets","Sockeye","SER","Southern Fjords (river-type)",971,"SER-09"
"East Vancouver Island & Mainland Inlets","Pink","PKO","East Howe Sound-Burrard Inlet (odd)",921,"PKO-2"
"East Vancouver Island & Mainland Inlets","Pink","PKO","East Vancouver Island-Johnstone Strait (odd)",923,"PKO-4"
"East Vancouver Island & Mainland Inlets","Pink","PKO","Georgia Strait (odd)",922,"PKO-3"
"East Vancouver Island & Mainland Inlets","Pink","PKO","Nahwitti (odd)",924,"PKO-5"
"East Vancouver Island & Mainland Inlets","Pink","PKO","Southern Fjords (odd)",926,"PKO-7"
"East Vancouver Island & Mainland Inlets","Pink","PKE","Georgia Strait (even)",917,"PKE-1"
"East Vancouver Island & Mainland Inlets","Pink","PKE","Southern Fjords (even)",920,"PKE-4"
